date,time,fare,tip,earnings,distance,duration,restaurant_address,points,deliveries_count,dropoff_latitude,dropoff_longitude,restaurant_latitude,restaurant_longitude,weekday,weekday_name,is_weekend,is_holiday,duration_min,speed_mph,part_of_day,earnings_per_mile,earnings_per_hour,tip_pct,driver_binary
2025-06-01,15.5,9.41,1.0,10.41,9.14,39m 56s,"Uniboil Phresh Teas Co. (Goleta), El Colegio Rd, Goleta",1,1,34.4358295,-119.8276389,34.435421,-119.820377,6,Sunday,True,False,39.93333333333333,13.732888146911522,Afternoon,1.1389496717724288,15.641068447412357,0.0960614793467819,0
2025-06-01,20.5,2.84,6.51,9.35,1.49,17m 59s,Chili’s Grill & Bar (6950 Marketplace Dr),6,1,34.418602629230854,-119.8692936743689,34.429857713333135,-119.87060291929336,6,Sunday,True,False,17.983333333333334,4.97126969416126,Evening,6.275167785234899,31.19555143651529,0.6962566844919786,1
2025-05-01,0.5,3.4599999999999995,3.6,7.06,4.28,18m 02s,Taco Bell (1840 Cliff Dr),1,1,34.4217832,-119.7268474,34.4018453,-119.7217806,3,Thursday,False,False,18.033333333333335,14.240295748613676,Night,1.6495327102803736,23.489833641404804,0.509915014164306,1
2025-05-01,7.0,6.56,1.0,7.56,2.69,25 min 25 sec,"Starbucks (State & Victoria, Santa Barbara)",1,1,34.4359554,-119.704894,34.42407225156649,-119.70583674302095,3,Thursday,False,False,25.416666666666668,6.350163934426229,Morning,2.8104089219330852,17.84655737704918,0.1322751322751323,0
2025-05-01,18.0,13.47,15.42,28.89,18.79,1 hr 0 min,St. Bibiana,12,2,34.42586574610503,-119.86969091756649,34.41828329545669,-119.69861404998004,3,Thursday,False,False,60.0,18.79,Evening,1.5375199574241618,28.89,0.5337487019730011,0
2025-09-01,0.5,3.990000000000001,6.06,10.05,4.49,17m 37s,McDonald's (29 N Milpas St),1,1,34.4011196,-119.7200647,34.4222683,-119.6802254,0,Monday,False,True,17.616666666666667,15.292336802270578,Night,2.2383073496659245,34.22894985808893,0.6029850746268656,1
2025-09-01,8.5,17.71,5.0,22.71,19.7,55m 52s,Albertsons (0354),2,1,34.4555956,-119.6994425,34.44249063680539,-119.82547960064971,0,Monday,False,True,55.86666666666667,21.157517899761334,Morning,1.152791878172589,24.39021479713604,0.2201673271686481,0
2025-09-01,10.0,3.22,4.34,7.56,2.97,12m 47s,The Patio Cafe,1,1,34.4418142,-119.7489223,34.4388272,-119.728855,0,Monday,False,True,12.783333333333331,13.9400260756193,Morning,2.545454545454545,35.48370273794003,0.5740740740740741,0
2025-09-01,11.0,2.16,3.0,5.16,1.39,13m 1s,Hummus Republic – Isla Vista,3,1,34.417430743473545,-119.85865276455183,34.4132955,-119.8559139,0,Monday,False,True,13.016666666666667,6.407170294494237,Lunch,3.7122302158273386,23.784891165172855,0.5813953488372093,0
2025-09-01,11.5,4.36,7.71,12.07,3.91,30m 5s,Hana Kitchen (Goleta),6,2,34.435435,-119.8580618,34.4132625,-119.856487,0,Monday,False,True,30.083333333333332,7.798337950138505,Lunch,3.0869565217391304,24.07313019390582,0.6387738193869097,0
2025-09-01,19.0,7.02,5.0,12.02,4.36,30m 22s,Nick the Greek (Santa Barbara),12,2,34.4011196,-119.7200647,34.4171204,-119.6957341,0,Monday,False,True,30.366666666666667,8.61470911086718,Evening,2.756880733944954,23.74972557628979,0.415973377703827,0
2025-09-01,20.0,3.0600000000000005,4.99,8.05,1.97,12m 37s,Indian Tandoori Kingdom Inc (W Gutierrez St),6,1,34.4221319,-119.702667,34.4223121,-119.7025417,0,Monday,False,True,12.616666666666667,9.368560105680316,Evening,4.086294416243655,38.282694848084546,0.6198757763975155,1
2025-09-01,20.0,6.300000000000001,10.73,17.03,2.57,21m 51s,Hana Kitchen - State Street,12,2,34.4211771,-119.5937541,34.4167916,-119.6958944,0,Monday,False,True,21.85,7.057208237986269,Evening,6.626459143968872,46.764302059496565,0.630064591896653,1
2025-09-01,20.5,3.1700000000000004,3.86,7.03,4.36,14m 38s,Taco Bell (5980 Hollister Ave),6,1,34.4263627,-119.8856178,34.4362939,-119.8304545,0,Monday,False,True,14.633333333333333,17.87699316628702,Evening,1.6123853211009174,28.8246013667426,0.5490753911806543,0
2025-04-10,7.5,2.41,3.0,5.41,1.85,13m 22s,"McDonald's, Cliff Dr",1,1,34.4031769,-119.703819,34.40277756928841,-119.7224755809584,3,Thursday,False,False,13.366666666666667,8.30423940149626,Morning,2.924324324324324,24.28428927680798,0.5545286506469501,0
2025-04-10,10.0,7.06,0.0,7.06,6.26,29m 27s,Panda Express (University Center Bldg 558),1,1,34.417430743473545,-119.85865276455183,34.41173583955495,-119.84744970395124,3,Thursday,False,False,29.45,12.753820033955856,Morning,1.1277955271565494,14.383701188455008,0.0,0
2025-04-10,11.0,4.460000000000001,4.0,8.46,1.9,27m 18s,Zocalo,6,2,34.41376080815238,-119.85642849723656,34.41304813774897,-119.85733879045844,3,Thursday,False,False,27.3,4.175824175824175,Lunch,4.452631578947369,18.593406593406595,0.4728132387706855,0
2025-04-10,13.0,7.6,7.89,15.49,13.06,37m 30s,Kyle’s Kitchen - Calle Real,6,2,34.4222054,-119.6874234,34.4409167,-119.8240939,3,Thursday,False,False,37.5,20.896,Lunch,1.186064318529862,24.784,0.5093608779857972,0
2025-04-10,19.0,6.5600000000000005,13.51,20.07,7.07,26m 21s,Bruxie (Santa Barbara),12,2,34.4400968,-119.6299482,34.4192199,-119.6999292,3,Thursday,False,False,26.35,16.098671726755217,Evening,2.8387553041018387,45.70018975332068,0.6731439960139511,0
2025-04-10,20.0,3.0299999999999994,8.76,11.79,1.65,16m 37s,"Panda Express, 605 Paseo Nuevo",6,1,34.4252023,-119.7147203,34.4187049,-119.7001661,3,Thursday,False,False,16.616666666666667,5.957873620862587,Evening,7.1454545454545455,42.57171514543631,0.7430025445292622,1
2025-04-10,21.0,3.96,4.12,8.08,4.52,24m 20s,"Taco Bell, 821 N Milpas St",1,1,34.4493705,-119.7173299,34.4295465,-119.6900785,3,Thursday,False,False,24.333333333333332,11.145205479452054,Evening,1.7876106194690269,19.923287671232877,0.5099009900990099,1
2025-04-10,22.0,7.250000000000002,11.85,19.1,5.5,42m 07s,"Taco Bell, 821 N Milpas St",2,2,34.4297268,-119.599877,34.4295465,-119.6900785,3,Thursday,False,False,42.11666666666667,7.835377918480411,Night,3.472727272727273,27.210130589631977,0.6204188481675392,1
2025-08-10,6.5,3.21,3.0,6.21,8.66,26m 07s,Starbucks (Five Points Center),1,1,34.4402041,-119.7836422,34.43911270835084,-119.75283467693296,6,Sunday,True,False,26.116666666666667,19.895341416719848,Morning,0.7170900692840646,14.266751754945757,0.4830917874396135,0
2025-08-10,9.0,10.06,2.0,12.06,13.73,41m 22s,Cajé,1,1,34.4331106,-119.7100105,34.425317675129044,-119.7066449776383,6,Sunday,True,False,41.36666666666667,19.914585012087027,Morning,0.8783685360524399,17.492344883158744,0.165837479270315,0
2025-08-10,12.0,4.23,9.99,14.22,5.83,22m 30s,"Taco Bell, 821 N Milpas St",3,2,34.4010963,-119.7304916,34.4295465,-119.6900785,6,Sunday,True,False,22.5,15.546666666666669,Lunch,2.4391080617495713,37.92,0.7025316455696202,0
2025-08-10,18.5,5.770000000000003,37.73,43.5,3.21,39 min 29 sec,Sachi Ramen (Santa Barbara),18,3,34.4231777,-119.6610121,34.4179964,-119.7000379,6,Sunday,True,False,39.483333333333334,4.878007598142676,Evening,13.551401869158878,66.10384128324186,0.8673563218390804,1
2025-08-10,19.5,11.06,22.2,33.26,9.86,42 min 13 sec,Poke House (Santa Barbara),12,3,34.4392804,-119.6295856,34.4196536,-119.7001077,6,Sunday,True,False,42.21666666666667,14.013422818791945,Evening,3.3732251521298173,47.27043031977891,0.6674684305472038,1
2025-08-10,20.5,7.02,5.0,12.02,4.94,21 min 56 sec,Uncle Rocco’s Famous New York Pizza (437 State St),6,1,34.4403683,-119.7302801,34.416613,-119.695486,6,Sunday,True,False,21.933333333333337,13.513677811550153,Evening,2.433198380566801,32.88145896656534,0.415973377703827,1
2025-07-10,0.0,2.55,4.0,6.55,1.72,20m 43s,"Taco Bell, 821 N Milpas St",1,1,34.4256257,-119.7088716,34.4295465,-119.6900785,3,Thursday,False,False,20.716666666666665,4.981496379726469,Night,3.808139534883721,18.970233306516494,0.6106870229007634,1
2025-07-10,12.0,6.01,2.0,8.01,3.07,15m 41s,BEST BBQ,3,1,34.4399304,-119.721851,34.419127,-119.6984324,3,Thursday,False,False,15.683333333333334,11.744952178533474,Lunch,2.6091205211726387,30.643995749202976,0.2496878901373283,1
2025-07-10,19.5,2.49,9.81,12.3,1.07,12m 11s,Saigon Vietnamese Restaurant,6,1,34.4113252,-119.6932087,34.41801199900006,-119.70004461545196,3,Thursday,False,False,12.183333333333334,5.269493844049247,Evening,11.495327102803738,60.57455540355677,0.7975609756097561,1
2025-07-10,19.5,3.17,11.17,14.34,1.71,11m 15s,Asie Dumpling House (Santa Barbara),6,1,34.424974,-119.7027632,34.416844,-119.696258,3,Thursday,False,False,11.25,9.12,Evening,8.385964912280702,76.48,0.7789400278940027,1
2025-07-10,20.0,3.01,4.0,7.01,2.19,22m 33s,The Win-Dow (Santa Barbara),6,1,34.4279799,-119.7211213,34.4175894,-119.6994583,3,Thursday,False,False,22.55,5.827050997782704,Evening,3.200913242009132,18.651884700665185,0.5706134094151213,1
2025-07-10,21.5,13.250000000000002,7.85,21.1,8.69,42m 48s,SB Liquor and Crafts,3,2,34.4233907,-119.671102,34.4178635,-119.6946673,3,Thursday,False,False,42.8,12.182242990654206,Evening,2.428078250863061,29.579439252336453,0.3720379146919431,0
2025-07-10,22.0,2.51,4.51,7.02,2.47,11m 10s,"Taco Bell, 821 N Milpas St",1,1,34.424974,-119.7027632,34.4295465,-119.6900785,3,Thursday,False,False,11.166666666666666,13.27164179104478,Night,2.8421052631578942,37.71940298507463,0.6424501424501424,1
2025-06-10,8.5,5.45,4.69,10.14,4.69,14m 49s,Spudnuts Donuts,1,1,34.4284992,-119.8774035,34.41522297202897,-119.85615521855476,1,Tuesday,False,False,14.816666666666666,18.99212598425197,Morning,2.162046908315565,41.06186726659168,0.4625246548323471,0
2025-06-10,9.0,2.53,3.14,5.67,1.71,12m 30s,Starbucks (888 Embarcadero del Norte),1,1,34.412469305188615,-119.86825297985683,34.4133556,-119.8551797,1,Tuesday,False,False,12.5,8.208,Morning,3.3157894736842106,27.216,0.5537918871252205,0
2025-06-10,11.0,5.57,1.5,7.07,4.23,25m 13s,McDonald's (146 S Fairview Ave),3,1,34.40967543920838,-119.84433283463753,34.4368539,-119.8301947,1,Tuesday,False,False,25.216666666666665,10.064771976206217,Lunch,1.6713947990543734,16.822207534699274,0.2121640735502121,0
2025-06-10,11.5,5.01,1.0,6.01,4.05,28m 09s,Panda Express (131 N Fairview Ave),3,1,34.4320597,-119.8741797,34.4416296,-119.8327241,1,Tuesday,False,False,28.15,8.632326820603907,Lunch,1.4839506172839507,12.809946714031971,0.1663893510815308,0
2025-06-10,18.5,3.49,5.59,9.08,2.91,24m 21s,7‑Eleven (Montecito St),6,1,34.4187276,-119.7237773,34.41226742768558,-119.6977621609164,1,Tuesday,False,False,24.35,7.170431211498973,Evening,3.120274914089347,22.37371663244353,0.6156387665198237,1
2025-06-10,19.0,6.06,0.0,6.06,1.66,13m 50s,Bruxie (Santa Barbara),6,1,34.4267969,-119.714442,34.4192199,-119.6999292,1,Tuesday,False,False,13.833333333333334,7.199999999999999,Evening,3.6506024096385543,26.284337349397585,0.0,1
2025-06-10,20.5,5.02,0.0,5.02,3.93,22m 02s,"Wingstop, 3849 State St #163",6,1,34.4265681,-119.7101531,34.4394324768876,-119.749171197512,1,Tuesday,False,False,22.033333333333335,10.70196671709531,Evening,1.2773536895674298,13.67019667170953,0.0,1
2025-06-10,22.5,3.04,3.0,6.04,1.06,9m 52s,McDonald's (29 N Milpas St),1,1,34.4260186,-119.6810988,34.4222683,-119.6802254,1,Tuesday,False,False,9.866666666666667,6.4459459459459465,Night,5.69811320754717,36.729729729729726,0.4966887417218543,1
2025-06-10,22.5,2.7600000000000007,6.29,9.05,1.92,21m 41s,"Taco Bell, 821 N Milpas St",1,1,34.424078,-119.669489,34.4295465,-119.6900785,1,Tuesday,False,False,21.683333333333337,5.31283627978478,Night,4.713541666666667,25.04227517294389,0.6950276243093922,1
2025-06-10,23.0,3.5500000000000007,5.84,9.39,1.97,12m 57s,Jack in the Box (501 N Milpas St),1,1,34.4209307,-119.7024531,34.4262994,-119.6856795,1,Tuesday,False,False,12.95,9.127413127413128,Night,4.766497461928934,43.505791505791514,0.6219382321618743,1
2025-03-10,1.0,5.750000000000001,2.3,8.05,2.28,8 min 18 s,7‑Eleven (Montecito St),1,1,34.4085594,-119.7008271,34.410811253670914,-119.69700129542034,0,Monday,False,False,8.3,16.481927710843372,Night,3.5307017543859653,58.19277108433735,0.2857142857142856,1
2025-03-10,2.0,8.23,5.82,14.05,6.23,26 min 01 s,McDonald's (3940 State St),1,1,34.4477564,-119.7601859,34.44129325868341,-119.75329320130238,0,Monday,False,False,26.016666666666666,14.367713004484306,Night,2.2552166934189404,32.40230621396541,0.4142348754448398,1
2025-03-10,21.5,3.1599999999999997,3.89,7.05,5.07,21 min 19 s,Taco Bell (1840 Cliff Dr),1,1,34.4381388,-119.7437195,34.4018453,-119.7217806,0,Monday,False,False,21.316666666666663,14.270523846755282,Evening,1.3905325443786982,19.84362783424551,0.5517730496453901,1
2025-05-10,8.0,4.07,8.01,12.08,3.42,14 min 7 sec,Starbucks (Montecito),1,1,34.4181263,-119.6715671,34.42171,-119.65018,5,Saturday,True,False,14.116666666666667,14.536009445100351,Morning,3.5321637426900585,51.34356552538371,0.6630794701986755,0
2025-05-10,8.5,6.289999999999999,7.08,13.37,6.58,41 min 19 sec,Santa Barbara Roasting Company,2,2,34.4430395,-119.7584313,34.4151156,-119.6943257,5,Saturday,True,False,41.31666666666667,9.555465913674867,Morning,2.0319148936170213,19.41589350544574,0.5295437546746448,0
2025-05-10,19.5,2.2700000000000005,6.81,9.08,1.31,25 min 54 sec,Su’s Bowl (Isla Vista),6,1,34.4146025,-119.84581,34.4129772,-119.857419,5,Saturday,True,False,25.9,3.034749034749035,Evening,6.931297709923664,21.034749034749037,0.75,0
2025-05-10,20.0,2.04,4.0,6.04,0.42,18m 01s,Taqueria La Unica,6,1,34.4403683,-119.7302801,34.4401724,-119.7458228,5,Saturday,True,False,18.016666666666666,1.3987049028677152,Evening,14.38095238095238,20.11470860314524,0.6622516556291391,1
2025-05-10,20.5,16.65,10.05,26.7,5.42,25m 37s,Taco Bell (5980 Hollister Ave),12,2,34.417430743473545,-119.85865276455183,34.4362939,-119.8304545,5,Saturday,True,False,25.616666666666667,12.694860117111254,Evening,4.92619926199262,62.537410540013006,0.3764044943820225,0
2025-09-10,11.0,5.04,0.0,5.04,3.55,14m 46s,Subway (6831 Hollister Ave Ste J),0,1,34.43376110083814,-119.89789477511442,34.429467,-119.8670702,2,Wednesday,False,False,14.766666666666667,14.424379232505643,Lunch,1.419718309859155,20.478555304740407,0.0,0
2025-09-10,12.0,3.0599999999999996,4.53,7.59,2.58,18m 51s,Luna Grill - Santa Barbara,0,1,34.4320903,-119.7827147,34.4401289,-119.7523599,2,Wednesday,False,False,18.85,8.212201591511935,Lunch,2.941860465116279,24.15915119363395,0.5968379446640316,0
2025-09-10,18.0,9.09,5.0,14.09,12.11,30m 27s,Taco Bell (1840 Cliff Dr),6,1,34.4490182,-119.8111496,34.4018453,-119.7217806,2,Wednesday,False,False,30.45,23.86206896551724,Evening,1.1635012386457473,27.76354679802956,0.35486160397445,1
2025-09-10,19.0,3.09,4.0,7.09,4.44,20m 20s,Luna Grill - Santa Barbara,6,1,34.4113252,-119.6932087,34.4401289,-119.7523599,2,Wednesday,False,False,20.333333333333332,13.101639344262296,Evening,1.5968468468468466,20.921311475409837,0.5641748942172073,1
2025-09-10,20.5,5.010000000000002,12.34,17.35,2.98,33m 50s,CVS (222 West Carrillo St),6,1,34.414603,-119.6898905,34.4190104,-119.7052095,2,Wednesday,False,False,33.833333333333336,5.284729064039409,Evening,5.822147651006712,30.768472906403943,0.7112391930835734,1
2025-09-10,21.0,5.07,3.0,8.07,13.24,36m 5s,Chipotle Mexican Grill (270 Storke Rd Ste F),0,1,34.4220828,-119.6795356,34.4291769,-119.8694057,2,Wednesday,False,False,36.083333333333336,22.01570438799076,Evening,0.6095166163141994,13.4189376443418,0.3717472118959107,0
2025-09-10,23.0,6.09,2.0,8.09,2.52,13m 12s,Hana Kitchen - State Street,1,1,34.4270827,-119.6992472,34.4168496,-119.6958222,2,Wednesday,False,False,13.2,11.454545454545457,Night,3.2103174603174605,36.77272727272727,0.2472187886279357,1
2025-09-10,0.0,4.779999999999999,9.25,14.03,3.83,25m 10s,"Taco Bell, 821 N Milpas St",2,1,34.4279799,-119.7211213,34.4295465,-119.6900785,2,Wednesday,False,False,25.166666666666668,9.13112582781457,Night,3.6631853785900783,33.449006622516556,0.6593014967925873,1
2025-04-11,10.5,4.52,4.0,8.52,2.09,24m 12s,Cajé,2,2,34.41354471709212,-119.85871043763863,34.425317675129044,-119.7066449776383,4,Friday,False,False,24.2,5.181818181818182,Morning,4.076555023923445,21.12396694214876,0.4694835680751174,0
2025-04-11,14.5,3.08,2.0,5.08,1.29,12m 42s,7-Eleven (5810 Hollister),1,1,34.4375034,-119.8174529,34.4361697,-119.8269452,4,Friday,False,False,12.7,6.094488188976379,Lunch,3.937984496124031,24.000000000000004,0.3937007874015747,1
2025-04-11,18.5,10.05,14.0,24.05,19.81,47m 32s,Vons:3329,12,2,34.4260186,-119.6810988,34.40306188258483,-119.72368951303754,4,Friday,False,False,47.53333333333333,25.005610098176717,Evening,1.214033316506815,30.357643758765786,0.5821205821205822,0
2025-04-11,19.0,3.049999999999999,10.14,13.19,4.31,11m 59s,Luna Grill - Santa Barbara,6,1,34.4391992,-119.8509255,34.4401289,-119.7523599,4,Friday,False,False,11.983333333333333,21.57997218358831,Evening,3.060324825986079,66.04172461752434,0.7687642153146323,1
2025-04-11,19.5,2.37,7.11,9.48,1.41,7m 44s,China Palace,6,1,34.4214132,-119.6398725,34.42186627540789,-119.6496213058011,4,Friday,False,False,7.733333333333333,10.939655172413794,Evening,6.723404255319149,73.55172413793105,0.75,1
2025-04-11,20.0,3.28,3.32,6.6,2.24,12m 44s,Jack in the Box (3747 State St),6,1,34.4279799,-119.7211213,34.4401877,-119.7441611,4,Friday,False,False,12.733333333333333,10.554973821989533,Evening,2.946428571428571,31.09947643979058,0.503030303030303,0
2025-04-11,21.5,3.0199999999999996,8.4,11.42,4.2,21m 2s,Little Caesars (21 N Milpas St),1,1,34.4313392,-119.7050663,34.421832,-119.679684,4,Friday,False,False,21.033333333333335,11.980982567353408,Evening,2.7190476190476187,32.57686212361331,0.7355516637478109,0
